Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Which role in Azure AD is responsible for managing group settings?;Global Administrator;Group Administrator;User Administrator;Privileged Role Administrator;C;User Administrators in Azure AD have the ability to manage settings for users and groups, including creating, updating, and deleting group memberships.
What is the default method of authentication used in Azure AD?;Windows NTLM;OAuth;Kerberos;SAML;B;Azure AD uses OAuth as one of the default methods of authentication for web applications, providing secure access delegation.
How can you enforce multifactor authentication (MFA) for all users in Azure AD?;Create Conditional Access policies requiring MFA.;Enable password expiration policies.;Deploy an MDM solution.;Enable auditing in Azure AD.;A;Conditional Access policies can be created in Azure AD to enforce multifactor authentication (MFA) for all users, providing an additional layer of security for sign-ins.
What is the purpose of regulatory compliance?;Ensure business processes are secure;Store data;Manage workflows;Analyze data;A;Regulatory compliance ensures that a company's business processes are secure and meet the required standards.
What is GDPR?;General Data Protection Regulation;Global Data Protection Regulation;General Data Privacy Regulation;Global Data Privacy Regulation;A;GDPR stands for General Data Protection Regulation, which is a regulation in EU law on data protection and privacy.
What is the role of the Microsoft Service Trust Portal?;Find audit reports and security assessments;Store data;Manage workflows;Analyze data;A;The Microsoft Service Trust Portal is a single location where users can find audit reports, penetration tests, security assessments, and more information on how Microsoft manages security, privacy, and compliance.
What is the compliance score?;Measures progress towards completing recommended actions;Store data;Manage workflows;Analyze data;A;The compliance score measures progress towards completing recommended actions that help reduce risks around data protection and regulatory standards.
What are Microsoft's six key privacy principles?;Control, Strong legal protections, Transparency, No content-based targeting, Security, Benefits to you;Data storage, Workflow management, Data analysis, Project management;Data storage, Workflow management, Data analysis, Security;Control, Strong legal protections, Transparency, No content-based targeting, Data storage, Workflow management;A;Microsoft's six key privacy principles are Control, Strong legal protections, Transparency, No content-based targeting, Security, and Benefits to you.
What is Microsoft Priva?;A tool to safeguard personal data;A data analysis tool;A project management tool;A cloud storage service;A;Microsoft Priva helps companies safeguard personal data and build a privacy-resilient workplace by proactively identifying and protecting against privacy risks.
What are the two solutions offered by Microsoft Priva?;Privacy Risk Management and Subject Rights Requests;Data storage and Workflow management;Data analysis and Project management;Cloud storage and Data analysis;A;Microsoft Priva offers two solutions: Privacy Risk Management and Subject Rights Requests.
What is the purpose of Privacy Risk Management in Microsoft Priva?;Set up policies to identify privacy risks;Store data;Manage workflows;Analyze data;A;Privacy Risk Management in Microsoft Priva gives users the capability to set up policies that identify privacy risks in their Microsoft 365 environment and enable easy remediation.
What is the cost of Priva Privacy Risk Management?;5.00 user/month;10.00 user/month;15.00 user/month;20.00 user/month;A;Priva Privacy Risk Management costs $5.00 per user per month.
What is the purpose of Priva Subject Rights Requests?;Help respond to data subject inquiries;Store data;Manage workflows;Analyze data;A;Priva Subject Rights Requests is designed to help alleviate the complexity and length of time involved in responding to data subject inquiries.
What is Microsoft Purview?;A comprehensive set of solutions for data governance, protection, and management;A data storage service;A project management tool;A cloud storage service;A;Microsoft Purview is a comprehensive set of solutions that help organizations govern, protect, and manage data, wherever it lives.
What is the purpose of the Microsoft Purview compliance portal?;Central location for compliance tools and settings;Store data;Manage workflows;Analyze data;A;The Microsoft Purview compliance portal is a central location for all compliance tools and settings.
What is the compliance score in Microsoft Purview?;Measures progress towards completing recommended actions;Store data;Manage workflows;Analyze data;A;The compliance score measures progress towards completing recommended actions that help reduce risks around data protection and regulatory standards.
What are the three types of controls in Microsoft Purview Compliance Manager?;Microsoft-managed controls, Customer controls, Shared controls;Data storage, Workflow management, Data analysis;Data storage, Workflow management, Security;Microsoft-managed controls, Customer controls, Data storage;A;The three types of controls in Microsoft Purview Compliance Manager are Microsoft-managed controls, Customer controls, and Shared controls.
What is the role of Microsoft Purview Compliance Manager?;Manage compliance requirements;Store data;Manage workflows;Analyze data;A;Microsoft Purview Compliance Manager helps administrators manage compliance requirements by providing pre-built assessments, custom assessments, and step-by-step guidance.
What is Microsoft Purview Information Protection?;Discovers, classifies, and protects sensitive content;A data storage service;A project management tool;A cloud storage service;A;Microsoft Purview Information Protection discovers, classifies, and protects sensitive and business-critical content throughout its lifecycle across an organization.
What is the purpose of Microsoft Purview Data Lifecycle Management?;Manage content lifecycle;Store data;Manage workflows;Analyze data;A;Microsoft Purview Data Lifecycle Management manages the content lifecycle using solutions to import, store, and classify business-critical data.
What are sensitivity labels in Microsoft Purview?;Classify and protect data;Store data;Manage workflows;Analyze data;A;Sensitivity labels in Microsoft Purview are used to classify and protect an organization's data while ensuring user productivity and collaboration.
What is the role of data loss prevention in Microsoft Purview?;Identify and prevent data loss;Store data;Manage workflows;Analyze data;A;Data loss prevention in Microsoft Purview is used to identify and prevent the accidental sharing of sensitive information.
What is the purpose of retention labels in Microsoft Purview?;Assign retention settings at an item level;Store data;Manage workflows;Analyze data;A;Retention labels in Microsoft Purview are used to assign retention settings at an item level, such as a folder, document, or email.
What is Microsoft Purview Insider Risk Management?;A compliance solution to minimize internal risks;A data storage service;A project management tool;A cloud storage service;A;Microsoft Purview Insider Risk Management is a compliance solution that helps minimize internal risks by enabling users to detect, investigate, and act on malicious and inadvertent activities.
What are some insider risk scenarios?;Leaks of sensitive data, Confidentiality violations, IP theft;Data storage, Workflow management, Data analysis;Data storage, Workflow management, Security;Leaks of sensitive data, Confidentiality violations, Data storage;A;Insider risk scenarios include leaks of sensitive data, confidentiality violations, intellectual property (IP) theft, fraud, insider trading, and regulatory compliance violations.
What is the purpose of insider risk policies?;Detect and manage insider risks;Store data;Manage workflows;Analyze data;A;Insider risk policies are used to detect and manage insider risks by setting up rules and conditions that trigger alerts and actions.
What is the role of communication compliance in Microsoft Purview?;Detect and remediate inappropriate messages;Store data;Manage workflows;Analyze data;A;Communication compliance in Microsoft Purview helps detect, capture, and act on potentially inappropriate messages in an organization.
What is the purpose of information barriers in Microsoft Purview?;Restrict communication between groups;Store data;Manage workflows;Analyze data;A;Information barriers in Microsoft Purview are used to restrict two-way communication and collaboration between groups and users in Microsoft Teams, SharePoint, and OneDrive.
What is eDiscovery?;Electronic aspect of identifying, collecting, and producing ESI;A data storage service;A project management tool;A cloud storage service;A;eDiscovery is the electronic aspect of identifying, collecting, and producing electronically stored information (ESI) in response to a request for production in a lawsuit or investigation.
What are the six stages of eDiscovery?;Identification, Preservation, Collection, Processing, Review, Production;Data storage, Workflow management, Data analysis, Project management;Data storage, Workflow management, Security, Data analysis;Identification, Preservation, Collection, Processing, Review, Data storage;A;The six stages of eDiscovery are Identification, Preservation, Collection, Processing, Review, and Production.
What is the purpose of Content Search in eDiscovery?;Find content across multiple services;Store data;Manage workflows;Analyze data;A;Content Search in eDiscovery allows users to find content across multiple services such as Exchange Online, SharePoint Online, Microsoft Teams, and OneDrive for Business.
What is the difference between eDiscovery (Standard) and eDiscovery (Premium)?;eDiscovery (Premium) includes Processing, Review, and Production;Data storage;Workflow management;Data analysis;A;eDiscovery (Premium) includes additional stages such as Processing, Review, and Production, while eDiscovery (Standard) focuses on Identification, Preservation, and Collection.
What is the role of legal hold in eDiscovery?;Preserve data identified as potentially relevant;Store data;Manage workflows;Analyze data;A;Legal hold in eDiscovery is used to preserve data identified as potentially relevant to a case.
What is the purpose of exporting eDiscovery results?;Provide data in native or industry-standard format;Store data;Manage workflows;Analyze data;A;Exporting eDiscovery results allows users to provide data in its native format or in an industry-standard format for further analysis and review.
What is the benefit of using eDiscovery in the Microsoft Cloud?;Find content across multiple services;Data storage;Project management;Cloud storage;A;eDiscovery in the Microsoft Cloud allows users to find content across multiple services such as Exchange Online, SharePoint Online, Microsoft Teams, and OneDrive for Business.
What is the purpose of eDiscovery filters?;Narrow down search results;Store data;Manage workflows;Analyze data;A;eDiscovery filters are used to narrow down search results based on specific criteria such as date, sender, or keywords.
What is the role of Microsoft Purview in eDiscovery?;Manage compliance and data protection;Store data;Manage workflows;Analyze data;A;Microsoft Purview helps manage compliance and data protection by providing tools for eDiscovery, content search, and legal hold.
What is the purpose of running a search across the organization in eDiscovery?;Find relevant content for legal cases;Store data;Manage workflows;Analyze data;A;Running a search across the organization in eDiscovery helps find relevant content for legal cases, investigations, or compliance requirements.
What is the purpose of auditing in Microsoft 365?;Track and record user activities;Store data;Manage workflows;Analyze data;A;Auditing in Microsoft 365 is used to track and record user activities to ensure compliance and security.
What is the difference between Microsoft Purview Audit (Standard) and Audit (Premium)?;Audit (Premium) includes long-term retention and high-bandwidth access;Data storage;Workflow management;Data analysis;A;Microsoft Purview Audit (Premium) includes additional features such as long-term retention of audit logs and high-bandwidth access to the Office 365 Management Activity API.
What is the retention period for audit logs in Microsoft Purview Audit (Standard)?;180 days;90 days;365 days;10 years;A;The retention period for audit logs in Microsoft Purview Audit (Standard) is 180 days.
What is the purpose of the Unified Audit Log in Microsoft Purview?;Centralized log of most Microsoft 365 activities;Store data;Manage workflows;Analyze data;A;The Unified Audit Log in Microsoft Purview is a centralized log that contains most Microsoft 365 activities.
What is the benefit of exporting audit logs to CSV?;Easier analysis and reporting;Data storage;Project management;Cloud storage;A;Exporting audit logs to CSV allows for easier analysis and reporting of user activities.
What is the role of the Office 365 Management Activity API in auditing?;Access audit log data with higher bandwidth;Store data;Manage workflows;Analyze data;A;The Office 365 Management Activity API allows organizations to access audit log data with higher bandwidth and less throttling.
What is the purpose of the 10-year Audit Log Retention Add On;Meet rigorous compliance obligations;Store data;Manage workflows;Analyze data;A;The 10-year Audit Log Retention Add On helps organizations meet rigorous compliance obligations by retaining audit logs for up to 10 years.
What is the benefit of using Microsoft Purview Audit (Premium)?;Long-term retention and high-bandwidth access;Data storage;Project management;Cloud storage;A;Microsoft Purview Audit (Premium) provides long-term retention of audit logs and high-bandwidth access to the Office 365 Management Activity API.
What is the purpose of audit log retention?;Ensure compliance and security;Store data;Manage workflows;Analyze data;A;Audit log retention ensures compliance and security by keeping records of user activities for a specified period.
What is the role of audit records in incident response?;Uncover auditable insights;Store data;Manage workflows;Analyze data;A;Audit records play a pivotal role in incident response by uncovering auditable insights into user activities and interactions.
What is Azure Resource Manager?;Deployment and management service for Azure;A data storage service;A project management tool;A cloud storage service;A;Azure Resource Manager is the deployment and management service for Azure.
What is the purpose of Azure resource locks?;Prevent accidental modification or deletion;Store data;Manage workflows;Analyze data;A;Azure resource locks are used to prevent accidental modification or deletion of resources.
What are the two lock options in Azure?;CanNotDelete and ReadOnly;Standard and Premium;Basic and Advanced;Internal and External;A;The two lock options in Azure are CanNotDelete and ReadOnly.
What is the role of Azure Policy?;Enforce organizational standards and assess compliance;Store data;Manage workflows;Analyze data;A;Azure Policy helps enforce organizational standards and assess compliance at scale.
What is the benefit of using Azure Policy?;Group multiple business rules into an initiative;Data storage;Project management;Cloud storage;A;Azure Policy allows users to group multiple business rules into an initiative, making deployment easier.
What is the purpose of a compliance dashboard in Azure Policy?;Monitor overall resource compliance;Store data;Manage workflows;Analyze data;A;The compliance dashboard in Azure Policy is used to monitor overall resource compliance and identify non-compliant resources.
What is the role of JSON policy definitions in Azure Policy?;Define business rules;Store data;Manage workflows;Analyze data;A;JSON policy definitions in Azure Policy are used to define business rules that enforce organizational standards.
What is the benefit of using resource locks in Azure?;Prevent accidental changes;Data storage;Project management;Cloud storage;A;Resource locks in Azure prevent accidental changes to resources, ensuring their integrity and security.
What is the purpose of applying locks at a parent scope in Azure?;Inherit locks to all resources within the scope;Store data;Manage workflows;Analyze data;A;Applying locks at a parent scope in Azure ensures that all resources within that scope inherit the locks.
What is the role of the compliance state in Azure Policy?;Indicate resource compliance;Store data;Manage workflows;Analyze data;A;The compliance state in Azure Policy indicates whether resources are compliant with the defined policies.
What is the primary goal of the Power Platform course?;Understand core components;Learn to build apps;Automate workflows;All of the above;D;The primary goal of the Power Platform course is to understand core components, learn to build apps, and automate workflows.
What are the core components of Power Platform?;Power Apps;Power Automate;Power BI;All of the above;D;The core components of Power Platform include Power Apps, Power Automate, and Power BI.
What is the purpose of Power Apps?;Build custom apps;Analyze data;Automate workflows;Create chatbots;A;Power Apps is designed to provide a rapid low-code development environment for building custom apps for business needs.
What does Power Automate do?;Create custom apps;Analyze data;Automate workflows;Create chatbots;C;Power Automate allows users to create automated workflows between applications and services, helping to automate repetitive business processes.
What is Power BI used for?;Build custom apps;Analyze data;Automate workflows;Create chatbots;B;Power BI is a business analytics service that delivers insights for analyzing data and sharing those insights through data visualizations.
What is the function of Power Virtual Agents?;Build custom apps;Analyze data;Automate workflows;Create chatbots;D;Power Virtual Agents enables anyone to create powerful chatbots using a guided, no-code graphical interface.
What is the benefit of using Power Platform?;Improved productivity;Enhanced collaboration;Increased efficiency;All of the above;D;Power Platform offers multiple benefits including improved productivity, enhanced collaboration, and increased efficiency.
What is the purpose of the Power Platform Admin Center?;Manage environments;Analyze key metrics;Manage data policies;All of the above;D;The Power Platform Admin Center allows users to manage environments, analyze key metrics, and manage data policies.
What is the role of the Power Platform Center of Excellence?;Governance;Best practices;Communication plans;All of the above;D;The Power Platform Center of Excellence focuses on governance, best practices, and communication plans.
What is the purpose of Data Loss Prevention policies in Power Platform?;Protect data;Manage data access;Prevent data breaches;All of the above;D;Data Loss Prevention policies in Power Platform help protect data, manage data access, and prevent data breaches.
What are the three types of cloud computing services?;IaaS, PaaS, SaaS;IaaS, DaaS, SaaS;PaaS, DaaS, SaaS;IaaS, PaaS, DaaS;A;The three types of cloud computing services are Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS).
What is the shared responsibility model?;A model that defines security responsibilities between the cloud provider and the customer;A model that defines data storage responsibilities;A model that defines project management responsibilities;A model that defines cloud storage responsibilities;A;The shared responsibility model defines security responsibilities between the cloud provider and the customer.
Who is responsible for securing the physical datacenter in the shared responsibility model;Cloud provider;Customer;Both cloud provider and customer;Neither cloud provider nor customer;A;The cloud provider is responsible for securing the physical datacenter in the shared responsibility model.
What is the customer's responsibility in IaaS?;Information and data, Devices, Accounts and identities, Application, Network controls, Operating system;Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Application, Network controls, Physical hosts, Physical network;A;In IaaS, the customer is responsible for Information and data, Devices, Accounts and identities, Application, Network controls, and Operating system.
What is the cloud provider's responsibility in SaaS?;Physical hosts, Physical network, Physical datacenter, Operating system, Application, Network controls;Information and data, Devices, Accounts and identities, Application, Network controls, Operating system;Information and data, Devices, Accounts and identities, Physical hosts, Physical network, Physical datacenter;Physical hosts, Physical network, Physical datacenter, Operating system, Application, Network controls, Information and data;A;In SaaS, the cloud provider is responsible for Physical hosts, Physical network, Physical datacenter, Operating system, Application, and Network controls.
What is the purpose of the shared responsibility model?;Define security responsibilities between cloud provider and customer;Define data storage responsibilities;Define project management responsibilities;Define cloud storage responsibilities;A;The purpose of the shared responsibility model is to define security responsibilities between the cloud provider and the customer.
What is the customer's responsibility in PaaS?;Information and data, Devices, Accounts and identities, Application;Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Application, Network controls, Physical hosts, Physical network;A;In PaaS, the customer is responsible for Information and data, Devices, Accounts and identities, and Application.
What is the cloud provider's responsibility in IaaS?;Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Application, Network controls, Operating system;Information and data, Devices, Accounts and identities, Physical hosts, Physical network, Physical datacenter;Physical hosts, Physical network, Physical datacenter, Operating system, Application, Network controls, Information and data;A;In IaaS, the cloud provider is responsible for Physical hosts, Physical network, and Physical datacenter.
What is the customer's responsibility in SaaS?;Information and data, Devices, Accounts and identities;Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Physical hosts, Physical network, Physical datacenter;Information and data, Devices, Accounts and identities, Application, Network controls, Physical hosts, Physical network;A;In SaaS, the customer is responsible for Information and data, Devices, and Accounts and identities.
What is the cloud provider's responsibility in PaaS?;Physical hosts, Physical network, Physical datacenter, Operating system, Application, Network controls;Information and data, Devices, Accounts and identities, Application, Network controls, Operating system;Information and data, Devices, Accounts and identities, Physical hosts, Physical network, Physical datacenter;Physical hosts, Physical network, Physical datacenter, Operating system, Application, Network controls, Information and data;A;In PaaS, the cloud provider is responsible for Physical hosts, Physical network, Physical datacenter, Operating system, Application, and Network controls.
What is the Zero Trust methodology?;A cybersecurity model that eliminates the concept of "trust" from your network;A data storage service;A project management tool;A cloud storage service;A;The Zero Trust methodology is a cybersecurity model that eliminates the concept of "trust" from your network.
What are the three guiding principles of Zero Trust?;Verify Explicitly, Least Privileged Access, Assume Breach;Data storage, Workflow management, Data analysis;Data storage, Workflow management, Security;Verify Explicitly, Least Privileged Access, Data storage;A;The three guiding principles of Zero Trust are Verify Explicitly, Least Privileged Access, and Assume Breach.
What is the purpose of encryption?;Make data unreadable and unusable to unauthorized viewers;Store data;Manage workflows;Analyze data;A;The purpose of encryption is to make data unreadable and unusable to unauthorized viewers.
What is the difference between symmetric and asymmetric cryptography?;Symmetric uses a single key, Asymmetric uses two keys;Symmetric uses two keys, Asymmetric uses a single key;Symmetric uses a public key, Asymmetric uses a private key;Symmetric uses a private key, Asymmetric uses a public key;A;Symmetric cryptography uses a single key to encrypt and decrypt the data, while asymmetric cryptography uses two keys: a public key and a private key.
What is the purpose of hashing?;Map data of any size to a unique fixed length value;Store data;Manage workflows;Analyze data;A;The purpose of hashing is to map data of any size to a unique fixed length value.
What is the role of digital signatures?;Prove that a document was not modified from the time it was signed;Store data;Manage workflows;Analyze data;A;Digital signatures prove that a document was not modified from the time it was signed.
What is the purpose of defense in depth?;Use a layered approach to protect data;Store data;Manage workflows;Analyze data;A;The purpose of defense in depth is to use a layered approach to protect data, rather than relying on a single perimeter.
What is the benefit of using encryption in transit?;Protect data from outside observers;Data storage;Project management;Cloud storage;A;Encryption in transit protects data from outside observers as it moves from one location to another.
What is the purpose of salting in hashing?;Add a random value to the input to prevent brute-force attacks;Store data;Manage workflows;Analyze data;A;Salting in hashing adds a random value to the input to prevent brute-force attacks.
What is the role of the Center for Internet Security (CIS) in defense in depth?;Provide a series of security mechanisms and controls;Store data;Manage workflows;Analyze data;A;The Center for Internet Security (CIS) provides a series of security mechanisms and controls that are thoughtfully layered throughout a computer network to protect the confidentiality, integrity, and availability of the network and the data within.
What is authentication?;Validating that users are whom they claim to be;Giving users permissions;Storing data;Managing workflows;A;Authentication is the process of validating that users are whom they claim to be.
What is authorization?;Giving users permissions for a specific resource;Validating users;Storing data;Managing workflows;A;Authorization is the process of giving users permissions for a specific resource.
What is modern authentication?;Microsoft's term for authentication and authorization methods;Data storage;Project management;Cloud storage;A;Modern authentication is Microsoft's term for authentication and authorization methods between client and server.
What is the role of an Identity Provider (IdP)?;Offer authentication, authorization, and auditing services;Store data;Manage workflows;Analyze data;A;An Identity Provider (IdP) offers authentication, authorization, and auditing services.
What is the purpose of single sign-on (SSO);Allow users to access multiple applications with one set of credentials;Store data;Manage workflows;Analyze data;A;Single sign-on (SSO) allows users to access multiple applications with one set of credentials.
What is the benefit of federation?;Enable access across organizational boundaries;Data storage;Project management;Cloud storage;A;Federation enables access of services across organizational or domain boundaries.
What is the role of Microsoft Entra ID?;Cloud-based identity solution;Data storage;Project management;Cloud storage;A;Microsoft Entra ID is a cloud-based identity solution that was previously known as Azure Active Directory.
What is the purpose of Active Directory Domain Services (AD DS)?;Central component for on-premises networks;Store data;Manage workflows;Analyze data;A;Active Directory Domain Services (AD DS) is the central component for on-premises networks.
What is the benefit of using multi-factor authentication (MFA);Enhance security by requiring multiple forms of verification;Data storage;Project management;Cloud storage;A;Multi-factor authentication (MFA) enhances security by requiring multiple forms of verification.
What is the role of auditing in identity management?;Track user activities;Store data;Manage workflows;Analyze data;A;Auditing in identity management is used to track user activities and ensure compliance.
What is regulatory compliance?;Set of digital security requirements and practices;Data storage;Project management;Cloud storage;A;Regulatory compliance is a set of digital security requirements and practices to ensure that a company's business processes are secure.
What is the purpose of the Governance, Risk, and Compliance (GRC) framework?;Align IT with business goals while managing risks;Store data;Manage workflows;Analyze data;A;The Governance, Risk, and Compliance (GRC) framework aligns IT with business goals while managing risks and meeting regulations.
What is GDPR?;General Data Protection Regulation;Global Data Protection Regulation;General Data Privacy Regulation;Global Data Privacy Regulation;A;GDPR stands for General Data Protection Regulation, which is a regulation in EU law on data protection and privacy.
What is the role of the compliance score?;Measure progress towards completing recommended actions;Store data;Manage workflows;Analyze data;A;The compliance score measures progress towards completing recommended actions that help reduce risks around data protection and regulatory standards.
What is the benefit of using Microsoft Purview?;Comprehensive set of solutions for data governance, protection, and management;Data storage;Project management;Cloud storage;A;Microsoft Purview provides a comprehensive set of solutions for data governance, protection, and management.
What is the purpose of compliance in the cloud?;Ensure security and regulatory adherence;Store data;Manage workflows;Analyze data;A;Compliance in the cloud ensures security and regulatory adherence by providing tools and documentation.
What is the role of risk management in GRC?;Identify, assess, and respond to threats;Store data;Manage workflows;Analyze data;A;Risk management in GRC identifies, assesses, and responds to threats that can impact company or customer objectives.
What is the purpose of governance in GRC?;Set policies, procedures, rules, and frameworks;Store data;Manage workflows;Analyze data;A;Governance in GRC sets policies, procedures, rules, and frameworks to achieve business goals.
What is the benefit of using GRC tools?;Unify governance and risk management with technological innovation;Data storage;Project management;Cloud storage;A;GRC tools unify governance and risk management with technological innovation and adoption.
What is the role of compliance in GRC?;Ensure adherence to laws and regulations;Store data;Manage workflows;Analyze data;A;Compliance in GRC ensures adherence to laws and regulations that an organization must follow.
What is the primary goal of the Power Platform course?;Understand core components;Learn to build apps;Automate workflows;All of the above;D;The primary goal of the Power Platform course is to understand core components, learn to build apps, and automate workflows.
What are the core components of Power Platform?;Power Apps;Power Automate;Power BI;All of the above;D;The core components of Power Platform include Power Apps, Power Automate, and Power BI.
What is the purpose of Power Apps?;Build custom apps;Analyze data;Automate workflows;Create chatbots;A;Power Apps is designed to provide a rapid low-code development environment for building custom apps for business needs.
What does Power Automate do?;Create custom apps;Analyze data;Automate workflows;Create chatbots;C;Power Automate allows users to create automated workflows between applications and services, helping to automate repetitive business processes.
What is Power BI used for?;Build custom apps;Analyze data;Automate workflows;Create chatbots;B;Power BI is a business analytics service that delivers insights for analyzing data and sharing those insights through data visualizations.
What is the function of Power Virtual Agents?;Build custom apps;Analyze data;Automate workflows;Create chatbots;D;Power Virtual Agents enables anyone to create powerful chatbots using a guided, no-code graphical interface.
What is the benefit of using Power Platform?;Improved productivity;Enhanced collaboration;Increased efficiency;All of the above;D;Power Platform offers multiple benefits including improved productivity, enhanced collaboration, and increased efficiency.
What is the purpose of the Power Platform Admin Center?;Manage environments;Analyze key metrics;Manage data policies;All of the above;D;The Power Platform Admin Center allows users to manage environments, analyze key metrics, and manage data policies.
What is the role of the Power Platform Center of Excellence?;Governance;Best practices;Communication plans;All of the above;D;The Power Platform Center of Excellence focuses on governance, best practices, and communication plans.
What is the purpose of Data Loss Prevention policies in Power Platform?;Protect data;Manage data access;Prevent data breaches;All of the above;D;Data Loss Prevention policies in Power Platform help protect data, manage data access, and prevent data breaches.
What is Microsoft Entra ID?;A cloud-based identity and access management service;A data storage service;A project management tool;A cloud storage service;A;Microsoft Entra ID is a cloud-based identity and access management service that provides a single identity system for cloud and on-premises applications.
What was Microsoft Entra ID previously called?;Azure Active Directory;Microsoft Identity Manager;Microsoft Access Manager;Azure Identity Service;A;Microsoft Entra ID was previously called Azure Active Directory and was rebranded in 2023.
What are the three types of identities in Microsoft Entra ID?;Human, Device, Workload;User, Service, Application;Employee, Partner, Customer;Desktop, Mobile, IoT;A;The three types of identities in Microsoft Entra ID are Human, Device, and Workload.
What is the purpose of Microsoft Entra B2B?;Collaborate with external users;Store data;Manage workflows;Analyze data;A;Microsoft Entra B2B is meant for business-to-business (B2B) scenarios and allows organizations to collaborate with external users.
What is the role of Microsoft Entra External ID for Customers?;Customizable authentication solution for customers;Store data;Manage workflows;Analyze data;A;Microsoft Entra External ID for Customers is a fully customizable authentication solution for customers to use with custom apps and websites.
What are the three ways to enable hybrid identity?;Password hash synchronization, Pass-through authentication, Federated authentication;Single sign-on, Multi-factor authentication, Conditional access;User provisioning, Role-based access control, Identity protection;Password reset, Account recovery, Identity governance;A;The three ways to enable hybrid identity are Password hash synchronization, Pass-through authentication, and Federated authentication.
What is the purpose of password hash synchronization?;Authenticate users with the same password on-premises and online;Store data;Manage workflows;Analyze data;A;Password hash synchronization allows users to authenticate with the same password on-premises and online.
What is the benefit of pass-through authentication;Passwords are not stored in the cloud;Data storage;Project management;Cloud storage;A;Pass-through authentication ensures that passwords are not stored in the cloud, providing an additional layer of security.
What is the role of federated authentication?;Establish trust relationships between different identity providers;Store data;Manage workflows;Analyze data;A;Federated authentication establishes trust relationships between different identity providers, allowing users to authenticate with their existing credentials.
What is the purpose of Microsoft Entra Connect?;Synchronize on-premises directories with Microsoft Entra ID;Store data;Manage workflows;Analyze data;A;Microsoft Entra Connect is used to synchronize on-premises directories with Microsoft Entra ID.
What is the purpose of Microsoft Entra ID Governance?;Balance security and employee productivity;Store data;Manage workflows;Analyze data;A;Microsoft Entra ID Governance allows organizations to balance security and employee productivity with the right processes and visibility.
What is the role of dynamic groups in Entra ID?;Automate group membership based on user profile properties;Store data;Manage workflows;Analyze data;A;Dynamic groups in Entra ID automate group membership based on user profile properties such as department, country, and title.
What is the benefit of using access reviews in Entra ID?;Verify permissions and remove unnecessary access;Data storage;Project management;Cloud storage;A;Access reviews in Entra ID help verify permissions and remove access for users who no longer need it.
What is the purpose of entitlement management in Entra ID?;Manage identity and access lifecycle at scale;Store data;Manage workflows;Analyze data;A;Entitlement management in Entra ID allows organizations to manage identity and access lifecycle at scale.
What is the role of Privileged Identity Management (PIM) in Entra ID?;Provide just-in-time privileged access;Store data;Manage workflows;Analyze data;A;Privileged Identity Management (PIM) provides just-in-time privileged access to Entra ID roles and Azure resources.
What is the purpose of Microsoft Entra ID Protection?;Detect, investigate, and remediate identity-based risks;Store data;Manage workflows;Analyze data;A;Microsoft Entra ID Protection helps detect, investigate, and remediate identity-based risks.
What are the three key reports provided by Entra ID Protection?;Risky users, Risky sign-ins, Risk detections;Data storage, Workflow management, Data analysis;Data storage, Workflow management, Security;Risky users, Risky sign-ins, Data storage;A;The three key reports provided by Entra ID Protection are Risky users, Risky sign-ins, and Risk detections.
What is the purpose of Microsoft Entra Permissions Management?;Provide visibility into permissions assigned to all identities;Store data;Manage workflows;Analyze data;A;Microsoft Entra Permissions Management provides visibility into permissions assigned to all identities across multicloud infrastructures.
What is the role of the Permission Creep Index (PCI)?;Evaluate the gap between permissions granted and permissions used;Store data;Manage workflows;Analyze data;A;The Permission Creep Index (PCI) evaluates the gap between permissions granted and permissions used.
What is the benefit of using machine learning-powered alerts in Permissions Management;Detect anomalous activities;Data storage;Project management;Cloud storage;A;Machine learning-powered alerts in Permissions Management help detect anomalous activities and generate detailed forensic reports.
What is the purpose of Microsoft Entra ID?;Provide a single identity system for cloud and on-premises applications;Store data;Manage workflows;Analyze data;A;Microsoft Entra ID provides a single identity system for cloud and on-premises applications.
What is the role of Microsoft Entra B2B?;Collaborate with external users;Store data;Manage workflows;Analyze data;A;Microsoft Entra B2B allows organizations to collaborate with external users.
What is the benefit of using Microsoft Entra External ID for Customers?;Customizable authentication solution for customers;Data storage;Project management;Cloud storage;A;Microsoft Entra External ID for Customers is a fully customizable authentication solution for customers.
What is the purpose of hybrid identity?;Enable users to authenticate with the same password on-premises and online;Store data;Manage workflows;Analyze data;A;Hybrid identity enables users to authenticate with the same password on-premises and online.
What is the role of Microsoft Entra Connect?;Synchronize on-premises directories with Microsoft Entra ID;Store data;Manage workflows;Analyze data;A;Microsoft Entra Connect synchronizes on-premises directories with Microsoft Entra ID.
